tender_id,anomaly_score,anomaly_flag,single_bid_flag,short_duration_flag,high_value_flag,explanation,requires_human_review
2016_NHM_1087_1,0.3425983529767721,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_PWBNH_1088_1,0.0707642741513006,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_SSA_1163_1,0.23203780891436032,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_DoWR_918_1,0.5444976070073206,0,1,0,0,Single/low bidder competition,Requires Human Review
2016_DoWR_919_1,0.46699455783332555,0,1,0,0,Single/low bidder competition,Requires Human Review
2016_DoWR_920_1,0.285252667568591,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_DoWR_921_1,0.05205787726076827,0,1,0,0,Single/low bidder competition,Requires Human Review
2016_SAG_917_1,0.3147003339909955,0,1,1,0,Single/low bidder competition; Tender duration is in lower quartile,Requires Human Review
2016_ICD_1090_1,0.2409481903971764,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_SSA_1091_1,0.2824561654089147,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1092_1,0.23365718350876252,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1093_1,0.24151180876006206,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1094_1,0.27599985950438133,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1095_1,0.2765143283458755,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1096_1,0.3867203500008385,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_PWBNH_1272_1,0.35628939455169417,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_DoWR_933_1,0.029019848620819966,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_BTC_934_1,0.07900620164514716,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_PWBNH_936_1,0.01058813152642124,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_BTC_935_1,0.217726701925825,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_BTC_935_2,0.019213534191434456,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_APHC_940_1,0.223767877141835,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_NHM_992_1,0.4760040156887073,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SWD_1030_1,0.571493282526438,0,1,1,1,Single/low bidder competition; Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_NHM_1097_1,0.39316241101738636,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_SSA_1098_1,0.23012756838553605,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1099_1,0.22866515773299567,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_SSA_1100_1,0.16142206756603328,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_GMDA_1105_1,0.23175120902531865,0,1,1,0,Single/low bidder competition; Tender duration is in lower quartile,Requires Human Review
2016_PWBNH_1106_1,0.08326409819216818,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_SSA_1102_1,0.23041888835353808,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_SSA_1103_1,0.28182365050221925,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_SSA_1104_1,0.1786672582429294,0,0,1,0,Tender duration is in lower quartile,Requires Human Review
2016_SSA_1101_1,0.2381651882282455,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_SSA_1108_1,0.29005337844607093,0,1,1,0,Single/low bidder competition; Tender duration is in lower quartile,Requires Human Review
2016_GMDA_1273_1,0.41190999624379343,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_PWBNH_1275_1,0.06022625999587006,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_PWBNH_944_1,0.029019848620819966,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_DOT_946_1,0.08790068952484831,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_DOT_945_1,0.3875662585665348,0,1,0,1,Single/low bidder competition; Tender value is in upper quartile,Requires Human Review
2016_PWBNH_947_1,0.043140627986945845,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_BTC_951_1,0.030458002876074808,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_PWBNH_952_1,0.12742869488130837,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_PHED_950_1,0.32007523967568474,0,1,1,1,Single/low bidder competition; Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_PHED_950_2,0.3212595000300056,0,1,1,1,Single/low bidder competition; Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_PHED_950_3,0.29214127818267244,0,1,1,1,Single/low bidder competition; Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_NHM_948_1,0.08546064214850047,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_NHM_949_1,0.09874560075622607,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_ICD_953_1,0.06486120701532039,0,1,0,0,Single/low bidder competition,Requires Human Review
2016_RMSA_954_1,0.10301733052888173,0,0,0,0,No strong anomaly signals; monitor baseline drift,Requires Human Review
2016_PWBNH_955_1,0.04178544800633244,0,0,0,1,Tender value is in upper quartile,Requires Human Review
2016_DOT_957_1,0.3539725797738441,0,1,0,1,Single/low bidder competition; Tender value is in upper quartile,Requires Human Review
2016_GMDA_956_1,0.2189744037232375,0,0,1,1,Tender duration is in lower quartile; Tender value is in upper quartile,Requires Human Review
2016_NHM_939_1,0.3736612158284569,0,1,0,1,Single/low bidder competition; Tender value is in upper quartile,Requires Human Review
